name,code,description,layer,parent
Kosba[Terr](B),Kosba[Terr](B),Kosba[Terr](B),Territory,B-Baria[Reg](B)
Sorail[Terr](B),Sorail[Terr](B),Sorail[Terr](B),Territory,B-Baria[Reg](B)
Rangunia[Terr](B),Rangunia[Terr](B),Rangunia[Terr](B),Territory,Ctg-North[Reg](B)
Bahaddarhat[Terr](B),Bahaddarhat[Terr](B),Bahaddarhat[Terr](B),Territory,Ctg-North[Reg](B)
Riazuddin Bazar[Terr](B),Riazuddin Bazar[Terr](B),Riazuddin Bazar[Terr](B),Territory,Ctg-North[Reg](B)
Potiya[Terr](B),Potiya[Terr](B),Potiya[Terr](B),Territory,Potiya[Reg](B)
Amirabad[Terr](B),Amirabad[Terr](B),Amirabad[Terr](B),Territory,Potiya[Reg](B)
Anowara[Terr](B),Anowara[Terr](B),Anowara[Terr](B),Territory,Potiya[Reg](B)
Cox's Bazar[Terr](B),Cox's Bazar[Terr](B),Cox's Bazar[Terr](B),Territory,Cox-Bazar[Reg](B)
Teknaf[Terr](B),Teknaf[Terr](B),Teknaf[Terr](B),Territory,Cox-Bazar[Reg](B)
Chokoria[Terr](B),Chokoria[Terr](B),Chokoria[Terr](B),Territory,Cox-Bazar[Reg](B)
Agrabad[Terr](B),Agrabad[Terr](B),Agrabad[Terr](B),Territory,CTG-Metro[Reg](B)
Potenga[Terr](B),Potenga[Terr](B),Potenga[Terr](B),Territory,CTG-Metro[Reg](B)
Hathazari[Terr](B),Hathazari[Terr](B),Hathazari[Terr](B),Territory,Hathazari[Reg](B)
Fatikchori[Terr](B),Fatikchori[Terr](B),Fatikchori[Terr](B),Territory,Hathazari[Reg](B)
Khagrachori[Terr](B),Khagrachori[Terr](B),Khagrachori[Terr](B),Territory,Hathazari[Reg](B)
Direct Party[Terr](B),Direct Party[Terr](B),Direct Party[Terr](B),Territory,Direct Party[Reg](B)
Mirpur-1[Terr](B),Mirpur-1[Terr](B),Mirpur-1[Terr](B),Territory,Mirpur[Reg](B)
Mirpur-2[Terr](B),Mirpur-2[Terr](B),Mirpur-2[Terr](B),Territory,Mirpur[Reg](B)
Pallobi[Terr](B),Pallobi[Terr](B),Pallobi[Terr](B),Territory,Mirpur[Reg](B)
Kachukhet[Terr](B),Kachukhet[Terr](B),Kachukhet[Terr](B),Territory,Mirpur[Reg](B)
Dhamalkot[Terr](B),Dhamalkot[Terr](B),Dhamalkot[Terr](B),Territory,Mirpur[Reg](B)
Mohammadpur[Terr](B),Mohammadpur[Terr](B),Mohammadpur[Terr](B),Territory,Mohammadpur[Reg](B)
Dhanmondi[Terr](B),Dhanmondi[Terr](B),Dhanmondi[Terr](B),Territory,Mohammadpur[Reg](B)
New market[Terr](B),New market[Terr](B),New market[Terr](B),Territory,Mohammadpur[Reg](B)
Lalbag[Terr](B),Lalbag[Terr](B),Lalbag[Terr](B),Territory,Lalbag[Reg](B)
Kamrangirchor[Terr](B),Kamrangirchor[Terr](B),Kamrangirchor[Terr](B),Territory,Lalbag[Reg](B)
Mohakhali[Terr](B),Mohakhali[Terr](B),Mohakhali[Terr](B),Territory,Gulshan[Reg](B)
Gulshan[Terr](B),Gulshan[Terr](B),Gulshan[Terr](B),Territory,Gulshan[Reg](B)
Kawran bazar[Terr](B),Kawran bazar[Terr](B),Kawran bazar[Terr](B),Territory,Gulshan[Reg](B)
Mirer Bazar[Terr](B),Mirer Bazar[Terr](B),Mirer Bazar[Terr](B),Territory,Uttara[Reg](B)
Mowlovi Bazar[Terr](B),Mowlovi Bazar[Terr](B),Mowlovi Bazar[Terr](B),Territory,Khilgaon[Reg](B)
Kaptan bazar[Terr](B),Kaptan bazar[Terr](B),Kaptan bazar[Terr](B),Territory,Khilgaon[Reg](B)
Jatrabari[Terr](B),Jatrabari[Terr](B),Jatrabari[Terr](B),Territory,Jatrabari[Reg](B)
Jurain[Terr](B),Jurain[Terr](B),Jurain[Terr](B),Territory,Jatrabari[Reg](B)
Gendaria[Terr](B),Gendaria[Terr](B),Gendaria[Terr](B),Territory,Jatrabari[Reg](B)
Sreenagar[Terr](B),Sreenagar[Terr](B),Sreenagar[Terr](B),Territory,Jatrabari[Reg](B)
Nababgonj[Terr](B),Nababgonj[Terr](B),Nababgonj[Terr](B),Territory,Jatrabari[Reg](B)
Zinzira[Terr](B),Zinzira[Terr](B),Zinzira[Terr](B),Territory,Jatrabari[Reg](B)
Gazipura[Terr](B),Gazipura[Terr](B),Gazipura[Terr](B),Territory,Gazipur[Reg](B)
Konabari[Terr](B),Konabari[Terr](B),Konabari[Terr](B),Territory,Gazipur[Reg](B)
Joydebpur[Terr](B),Joydebpur[Terr](B),Joydebpur[Terr](B),Territory,Gazipur[Reg](B)
Rajendropur[Terr](B),Rajendropur[Terr](B),Rajendropur[Terr](B),Territory,Gazipur[Reg](B)
Bormi[Terr](B),Bormi[Terr](B),Bormi[Terr](B),Territory,Gazipur[Reg](B)
EPZ[Terr](B),EPZ[Terr](B),EPZ[Terr](B),Territory,Savar[Reg](B)
Manikgonj[Terr](B),Manikgonj[Terr](B),Manikgonj[Terr](B),Territory,Savar[Reg](B)
Ashulia[Terr](B),Ashulia[Terr](B),Ashulia[Terr](B),Territory,Savar[Reg](B)
Khulna[Terr](B),Khulna[Terr](B),Khulna[Terr](B),Territory,Khulna[Reg](B)
Bagerhat[Terr](B),Bagerhat[Terr](B),Bagerhat[Terr](B),Territory,Khulna[Reg](B)
Pirojpur[Terr](B),Pirojpur[Terr](B),Pirojpur[Terr](B),Territory,Khulna[Reg](B)
Satkhira[Terr](B),Satkhira[Terr](B),Satkhira[Terr](B),Territory,Khulna[Reg](B)
Jessore[Terr](B),Jessore[Terr](B),Jessore[Terr](B),Territory,Jessore [Reg](B)
Jhenaidah[Terr](B),Jhenaidah[Terr](B),Jhenaidah[Terr](B),Territory,Jessore [Reg](B)
Norail[Terr](B),Norail[Terr](B),Norail[Terr](B),Territory,Jessore [Reg](B)
Kustia[Terr](B),Kustia[Terr](B),Kustia[Terr](B),Territory,Jessore [Reg](B)
chuadanga[Terr](B),chuadanga[Terr](B),chuadanga[Terr](B),Territory,Jessore [Reg](B)
Mymensingh[Terr](B),Mymensingh[Terr](B),Mymensingh[Terr](B),Territory,Mymensingh[Reg](B)
Valuka[Terr](B),Valuka[Terr](B),Valuka[Terr](B),Territory,Mymensingh[Reg](B)
Netrokona[Terr](B),Netrokona[Terr](B),Netrokona[Terr](B),Territory,Mymensingh[Reg](B)
Fulpur[Terr](B),Fulpur[Terr](B),Fulpur[Terr](B),Territory,Mymensingh[Reg](B)
Sherpur[Terr](B),Sherpur[Terr](B),Sherpur[Terr](B),Territory,Mymensingh[Reg](B)
Tangail[Terr](B),Tangail[Terr](B),Tangail[Terr](B),Territory,Tangail[Reg](B)
Modupur[Terr](B),Modupur[Terr](B),Modupur[Terr](B),Territory,Tangail[Reg](B)
Jamalpur[Terr](B),Jamalpur[Terr](B),Jamalpur[Terr](B),Territory,Tangail[Reg](B)
Narayangonj[Terr](B),Narayangonj[Terr](B),Narayangonj[Terr](B),Territory,Narayangonj[Reg](B)
Bondor[Terr](B),Bondor[Terr](B),Bondor[Terr](B),Territory,Narayangonj[Reg](B)
Fatulla[Terr](B),Fatulla[Terr](B),Fatulla[Terr](B),Territory,Narayangonj[Reg](B)
Adamjee[Terr](B),Adamjee[Terr](B),Adamjee[Terr](B),Territory,Narayangonj[Reg](B)
Demra[Terr](B),Demra[Terr](B),Demra[Terr](B),Territory,Narayangonj[Reg](B)
Sonargaon[Terr](B),Sonargaon[Terr](B),Sonargaon[Terr](B),Territory,Narayangonj[Reg](B)
Narshingdi[Terr](B),Narshingdi[Terr](B),Narshingdi[Terr](B),Territory,Narshinghdi[Reg](B)
Bhairab[Terr](B),Bhairab[Terr](B),Bhairab[Terr](B),Territory,Narshinghdi[Reg](B)
Kishoreganj[Terr](B),Kishoreganj[Terr](B),Kishoreganj[Terr](B),Territory,Narshinghdi[Reg](B)
Rupgonj[Terr](B),Rupgonj[Terr](B),Rupgonj[Terr](B),Territory,Narshinghdi[Reg](B)
Chowmohoni[Terr](B),Chowmohoni[Terr](B),Chowmohoni[Terr](B),Territory,Noakhali[Reg](B)
