name,code,description,layer,parent
Dakkhin Khan[Terr](C),Dakkhin Khan[Terr](C),Dakkhin Khan[Terr](C),Territory,Uttara[Reg](C)
Tongi[Terr](C),Tongi[Terr](C),Tongi[Terr](C),Territory,Uttara[Reg](C)
Mirer Bazar[Terr](C),Mirer Bazar[Terr](C),Mirer Bazar[Terr](C),Territory,Uttara[Reg](C)
Mirpur-1[Terr](C),Mirpur-1[Terr](C),Mirpur-1[Terr](C),Territory,Mirpur[Reg](C)
Mirpur-2[Terr](C),Mirpur-2[Terr](C),Mirpur-2[Terr](C),Territory,Mirpur[Reg](C)
Pallobi[Terr](C),Pallobi[Terr](C),Pallobi[Terr](C),Territory,Mirpur[Reg](C)
Kachukhet[Terr](C),Kachukhet[Terr](C),Kachukhet[Terr](C),Territory,Mirpur[Reg](C)
Dhamalkot[Terr](C),Dhamalkot[Terr](C),Dhamalkot[Terr](C),Territory,Mirpur[Reg](C)
Mohammadpur[Terr](C),Mohammadpur[Terr](C),Mohammadpur[Terr](C),Territory,Mohammadpur[Reg](C)
Dhanmondi[Terr](C),Dhanmondi[Terr](C),Dhanmondi[Terr](C),Territory,Mohammadpur[Reg](C)
New Market[Terr](C),New Market[Terr](C),New Market[Terr](C),Territory,Mohammadpur[Reg](C)
Krishi Market[Terr](C),Krishi Market[Terr](C),Krishi Market[Terr](C),Territory,Mohammadpur[Reg](C)
Lalbag[Terr](C),Lalbag[Terr](C),Lalbag[Terr](C),Territory,Lalbag[Reg](C)
Kamrangirchor[Terr](C),Kamrangirchor[Terr](C),Kamrangirchor[Terr](C),Territory,Lalbag[Reg](C)
Gazipura[Terr](C),Gazipura[Terr](C),Gazipura[Terr](C),Territory,Gazipur[Reg](C)
Konabari[Terr](C),Konabari[Terr](C),Konabari[Terr](C),Territory,Gazipur[Reg](C)
Joydebpur[Terr](C),Joydebpur[Terr](C),Joydebpur[Terr](C),Territory,Gazipur[Reg](C)
Rajendropur[Terr](C),Rajendropur[Terr](C),Rajendropur[Terr](C),Territory,Gazipur[Reg](C)
Bormi[Terr](C),Bormi[Terr](C),Bormi[Terr](C),Territory,Gazipur[Reg](C)
Savar[Terr](C),Savar[Terr](C),Savar[Terr](C),Territory,Savar[Reg](C)
EPZ[Terr](C),EPZ[Terr](C),EPZ[Terr](C),Territory,Savar[Reg](C)
Manikgonj[Terr](C),Manikgonj[Terr](C),Manikgonj[Terr](C),Territory,Savar[Reg](C)
Ashulia[Terr](C),Ashulia[Terr](C),Ashulia[Terr](C),Territory,Savar[Reg](C)
Mymensingh[Terr](C),Mymensingh[Terr](C),Mymensingh[Terr](C),Territory,Mymensingh[Reg](C)
Valuka[Terr](C),Valuka[Terr](C),Valuka[Terr](C),Territory,Mymensingh[Reg](C)
Netrokona[Terr](C),Netrokona[Terr](C),Netrokona[Terr](C),Territory,Mymensingh[Reg](C)
Fulpur[Terr](C),Fulpur[Terr](C),Fulpur[Terr](C),Territory,Mymensingh[Reg](C)
Sherpur[Terr](C),Sherpur[Terr](C),Sherpur[Terr](C),Territory,Mymensingh[Reg](C)
Tangail[Terr](C),Tangail[Terr](C),Tangail[Terr](C),Territory,Tangail[Reg](C)
Modupur[Terr](C),Modupur[Terr](C),Modupur[Terr](C),Territory,Tangail[Reg](C)
Jamalpur[Terr](C),Jamalpur[Terr](C),Jamalpur[Terr](C),Territory,Tangail[Reg](C)
Rangunia[Terr](C),Rangunia[Terr](C),Rangunia[Terr](C),Territory,Ctg. North[Reg](C)
Bahaddarhat[Terr](C),Bahaddarhat[Terr](C),Bahaddarhat[Terr](C),Territory,Ctg. North[Reg](C)
Riazuddin Bazar[Terr](C),Riazuddin Bazar[Terr](C),Riazuddin Bazar[Terr](C),Territory,Ctg. North[Reg](C)
Potiya[Terr](C),Potiya[Terr](C),Potiya[Terr](C),Territory,Potiya[Reg](C)
Amirabad[Terr](C),Amirabad[Terr](C),Amirabad[Terr](C),Territory,Potiya[Reg](C)
Anowara[Terr](C),Anowara[Terr](C),Anowara[Terr](C),Territory,Potiya[Reg](C)
Cox's Bazar[Terr](C),Cox's Bazar[Terr](C),Cox's Bazar[Terr](C),Territory,Cox's Bazar[Reg](C)
Teknaf[Terr](C),Teknaf[Terr](C),Teknaf[Terr](C),Territory,Cox's Bazar[Reg](C)
Chokoria[Terr](C),Chokoria[Terr](C),Chokoria[Terr](C),Territory,Cox's Bazar[Reg](C)
Agrabad[Terr](C),Agrabad[Terr](C),Agrabad[Terr](C),Territory,Ctg. Metro[Reg](C)
Potenga[Terr](C),Potenga[Terr](C),Potenga[Terr](C),Territory,Ctg. Metro[Reg](C)
Hathazari[Terr](C),Hathazari[Terr](C),Hathazari[Terr](C),Territory,Hathazari[Reg](C)
Fatikchori[Terr](C),Fatikchori[Terr](C),Fatikchori[Terr](C),Territory,Hathazari[Reg](C)
Khagrachori[Terr](C),Khagrachori[Terr](C),Khagrachori[Terr](C),Territory,Hathazari[Reg](C)
Chowmohoni[Terr](C),Chowmohoni[Terr](C),Chowmohoni[Terr](C),Territory,Noakhali[Reg](C)
Senbag[Terr](C),Senbag[Terr](C),Senbag[Terr](C),Territory,Noakhali[Reg](C)
Maijdee[Terr](C),Maijdee[Terr](C),Maijdee[Terr](C),Territory,Noakhali[Reg](C)
Laxmipur[Terr](C),Laxmipur[Terr](C),Laxmipur[Terr](C),Territory,Noakhali[Reg](C)
Raypur[Terr](C),Raypur[Terr](C),Raypur[Terr](C),Territory,Noakhali[Reg](C)
Sonaimuri[Terr](C),Sonaimuri[Terr](C),Sonaimuri[Terr](C),Territory,Noakhali[Reg](C)
Feni[Terr](C),Feni[Terr](C),Feni[Terr](C),Territory,Feni[Reg](C)
Baroiarhat[Terr](C),Baroiarhat[Terr](C),Baroiarhat[Terr](C),Territory,Feni[Reg](C)
Dagon Bhuiyan[Terr](C),Dagon Bhuiyan[Terr](C),Dagon Bhuiyan[Terr](C),Territory,Feni[Reg](C)
Comilla[Terr](C),Comilla[Terr](C),Comilla[Terr](C),Territory,Comilla[Reg](C)
Choddogram[Terr](C),Choddogram[Terr](C),Choddogram[Terr](C),Territory,Comilla[Reg](C)
Laksham[Terr](C),Laksham[Terr](C),Laksham[Terr](C),Territory,Comilla[Reg](C)
Chandina [Terr](C),Chandina [Terr](C),Chandina [Terr](C),Territory,Comilla[Reg](C)
Chandpur[Terr](C),Chandpur[Terr](C),Chandpur[Terr](C),Territory,Chandpur[Reg](C)
Faridgonj[Terr](C),Faridgonj[Terr](C),Faridgonj[Terr](C),Territory,Chandpur[Reg](C)
Hazigonj[Terr](C),Hazigonj[Terr](C),Hazigonj[Terr](C),Territory,Chandpur[Reg](C)
B. Baria[Terr](C),B. Baria[Terr](C),B. Baria[Terr](C),Territory,B. Baria[Reg](C)
Companygonj[Terr](C),Companygonj[Terr](C),Companygonj[Terr](C),Territory,B. Baria[Reg](C)
Nobinagar[Terr](C),Nobinagar[Terr](C),Nobinagar[Terr](C),Territory,B. Baria[Reg](C)
Kosba[Terr](C),Kosba[Terr](C),Kosba[Terr](C),Territory,B. Baria[Reg](C)
Sorail[Terr](C),Sorail[Terr](C),Sorail[Terr](C),Territory,B. Baria[Reg](C)
Sylhet Metro-1[Terr](C),Sylhet Metro-1[Terr](C),Sylhet Metro-1[Terr](C),Territory,Sylhet North[Reg](C)
Sylhet Metro-2[Terr](C),Sylhet Metro-2[Terr](C),Sylhet Metro-2[Terr](C),Territory,Sylhet North[Reg](C)
Tuker Bazar[Terr](C),Tuker Bazar[Terr](C),Tuker Bazar[Terr](C),Territory,Sylhet North[Reg](C)
Jointapur[Terr](C),Jointapur[Terr](C),Jointapur[Terr](C),Territory,Sylhet North[Reg](C)
Chattak[Terr](C),Chattak[Terr](C),Chattak[Terr](C),Territory,Sylhet North[Reg](C)
Sunamgonj[Terr](C),Sunamgonj[Terr](C),Sunamgonj[Terr](C),Territory,Sylhet North[Reg](C)
South Surma[Terr](C),South Surma[Terr](C),South Surma[Terr](C),Territory,Sylhet South[Reg](C)
Biswanath[Terr](C),Biswanath[Terr](C),Biswanath[Terr](C),Territory,Sylhet South[Reg](C)
Biani Bazar[Terr](C),Biani Bazar[Terr](C),Biani Bazar[Terr](C),Territory,Sylhet South[Reg](C)
Moulovibazar[Terr](C),Moulovibazar[Terr](C),Moulovibazar[Terr](C),Territory,Sreemangal[Reg](C)
Borolekha[Terr](C),Borolekha[Terr](C),Borolekha[Terr](C),Territory,Sreemangal[Reg](C)
Hobigonj[Terr](C),Hobigonj[Terr](C),Hobigonj[Terr](C),Territory,Sreemangal[Reg](C)
Nobigonj[Terr](C),Nobigonj[Terr](C),Nobigonj[Terr](C),Territory,Sreemangal[Reg](C)
Shayestagonj[Terr](C),Shayestagonj[Terr](C),Shayestagonj[Terr](C),Territory,Sreemangal[Reg](C)
Rangpur[Terr](C),Rangpur[Terr](C),Rangpur[Terr](C),Territory,Rangpur[Reg](C)
Kurigram[Terr](C),Kurigram[Terr](C),Kurigram[Terr](C),Territory,Rangpur[Reg](C)
Lalmonirhat[Terr](C),Lalmonirhat[Terr](C),Lalmonirhat[Terr](C),Territory,Rangpur[Reg](C)
Gaibanda[Terr](C),Gaibanda[Terr](C),Gaibanda[Terr](C),Territory,Rangpur[Reg](C)
Dinajpur[Terr](C),Dinajpur[Terr](C),Dinajpur[Terr](C),Territory,Dinajpur[Reg](C)
Soyedpur[Terr](C),Soyedpur[Terr](C),Soyedpur[Terr](C),Territory,Dinajpur[Reg](C)
Thakurgaon[Terr](C),Thakurgaon[Terr](C),Thakurgaon[Terr](C),Territory,Dinajpur[Reg](C)
Bogra[Terr](C),Bogra[Terr](C),Bogra[Terr](C),Territory,Bogra[Reg](C)
Noagaon[Terr](C),Noagaon[Terr](C),Noagaon[Terr](C),Territory,Bogra[Reg](C)
Sirajgonj[Terr](C),Sirajgonj[Terr](C),Sirajgonj[Terr](C),Territory,Bogra[Reg](C)
Rajshahi[Terr](C),Rajshahi[Terr](C),Rajshahi[Terr](C),Territory,Rajshahi[Reg](C)
Natore[Terr](C),Natore[Terr](C),Natore[Terr](C),Territory,Rajshahi[Reg](C)
Pabna[Terr](C),Pabna[Terr](C),Pabna[Terr](C),Territory,Rajshahi[Reg](C)
Khulna[Terr](C),Khulna[Terr](C),Khulna[Terr](C),Territory,Khulna[Reg](C)
Bagerhat[Terr](C),Bagerhat[Terr](C),Bagerhat[Terr](C),Territory,Khulna[Reg](C)
